A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
200	Bi     	83 	117	0.0000  	(2+)          	-20.371             	22        	31 M 2                   	1860                     	          	        	EC      	<= 100.00   
200	Bi     	83 	117	0.4282  	(10-)         	-19.943             	22        	0.40 S 5                 	0.4                      	          	        	IT      	100.00      
201	Bi     	83 	118	0.0000  	9/2-          	-21.416             	15        	103 M 3                  	6180                     	          	        	EC      	100.00      
201	Bi     	83 	118	0.8464  	1/2+          	-20.570             	15        	57.5 M 21                	3450                     	          	        	EC      	> 91.10     
201	Bi     	83 	118	0.8464  	1/2+          	-20.570             	15        	57.5 M 21                	3450                     	          	        	IT      	<= 8.60     
201	Bi     	83 	118	0.8464  	1/2+          	-20.570             	15        	57.5 M 21                	3450                     	          	        	A       	~ 0.30      
202	Bi     	83 	119	0.0000  	5+            	-20.741             	15        	1.71 H 4                 	6156                     	          	        	EC      	100.00      
203	Bi     	83 	120	0.0000  	9/2-          	-21.525             	13        	11.76 H 5                	42336                    	          	        	EC      	100.00      
203	Bi     	83 	120	1.0981  	1/2+          	-20.427             	13        	305 MS 5                 	0.305                    	          	        	IT      	100.00      
204	Bi     	83 	121	0.0000  	6+            	-20.646             	9         	11.22 H 10               	40392                    	          	        	EC      	100.00      
204	Bi     	83 	121	0.8055  	10-           	-19.840             	9         	13.0 MS 1                	0.013                    	          	        	IT      	100.00      
204	Bi     	83 	121	2.8334  	17+           	-17.812             	9         	1.07 MS 3                	0.00107                  	          	        	IT      	100.00      
205	Bi     	83 	122	0.0000  	9/2-          	-21.065             	5         	15.31 D 4                	1322784                  	          	        	EC      	100.00      
206	Bi     	83 	123	0.0000  	6+            	-20.028             	8         	6.243 D 3                	539395.2                 	          	        	EC      	100.00      
206	Bi     	83 	123	1.0448  	10-           	-18.983             	8         	0.89 MS 1                	8.9E-4                   	          	        	IT      	100.00      
207	Bi     	83 	124	0.0000  	9/2-          	-20.0546            	24        	31.55 Y 4                	9.956E8                  	          	        	EC      	100.00      
208	Bi     	83 	125	0.0000  	5+            	-18.8702            	23        	3.68E+5 Y 4              	1.161E13                 	          	        	EC      	100.00      
208	Bi     	83 	125	1.5711  	10-           	-17.2991            	23        	2.58 MS 4                	0.00258                  	          	        	IT      	100.00      
209	Bi     	83 	126	0.0000  	9/2-          	-18.2587            	14        	2.01E19 Y 8              	6.343E26                 	100%      	        	A       	100.0       
210	Bi     	83 	127	0.0000  	1-            	-14.7920            	14        	5.012 D 5                	433036.8                 	          	        	B-      	100.00      
210	Bi     	83 	127	0.0000  	1-            	-14.7920            	14        	5.012 D 5                	433036.8                 	          	        	A       	1.3E-4      
210	Bi     	83 	127	0.2713  	9-            	-14.5207            	14        	3.04E+6 Y 6              	9.594E13                 	          	        	A       	100.00      
211	Bi     	83 	128	0.0000  	9/2-          	-11.859             	5         	2.14 M 2                 	128.4                    	          	        	A       	99.72       
211	Bi     	83 	128	0.0000  	9/2-          	-11.859             	5         	2.14 M 2                 	128.4                    	          	        	B-      	0.28        
212	Bi     	83 	129	0.0000  	1(-)          	-8.1180             	19        	60.55 M 6                	3633                     	          	        	B-      	64.06       
212	Bi     	83 	129	0.0000  	1(-)          	-8.1180             	19        	60.55 M 6                	3633                     	          	        	A       	35.94       
212	Bi     	83 	129	0.2500  	(8-,9-)       	-7.8680             	19        	25.0 M 2                 	1500                     	          	        	A       	67.00       
212	Bi     	83 	129	0.2500  	(8-,9-)       	-7.8680             	19        	25.0 M 2                 	1500                     	          	        	B-      	33.00       
212	Bi     	83 	129	0.2500  	(8-,9-)       	-7.8680             	19        	25.0 M 2                 	1500                     	          	        	BA      	30.00       
212	Bi     	83 	129	1.9100  	|>16          	-6.2080             	19        	7.0 M 3                  	420                      	          	        	B-      	100.00      
213	Bi     	83 	130	0.0000  	9/2-          	-5.232              	5         	45.61 M 6                	2736.6                   	          	        	A       	2.20        
213	Bi     	83 	130	0.0000  	9/2-          	-5.232              	5         	45.61 M 6                	2736.6                   	          	        	B-      	97.80       
214	Bi     	83 	131	0.0000  	1-            	-1.201              	11        	19.9 M 4                 	1194                     	          	        	B-      	99.98       
214	Bi     	83 	131	0.0000  	1-            	-1.201              	11        	19.9 M 4                 	1194                     	          	        	A       	0.02        
215	Bi     	83 	132	0.0000  	(9/2-)        	1.629               	6         	7.6 M 2                  	456                      	          	        	B-      	100.00      
215	Bi     	83 	132	1.3475  	>23/2-        	2.977               	6         	36.9 S 6                 	36.9                     	          	        	IT      	76.9        
215	Bi     	83 	132	1.3475  	>23/2-        	2.977               	6         	36.9 S 6                 	36.9                     	          	        	B-      	23.1        
216	Bi     	83 	133	0.0000  	(6-,7-)       	5.874               	11        	2.25 M 5                 	135                      	          	        	B-      	<= 100.00   
216	Bi     	83 	133	0.0000  	(3)           	5.874               	11        	6.6 M 21                 	396                      	          	        	B-      	<= 100.00   
217	Bi     	83 	134	0.0000  	(9/2-)        	8.730               	18        	98.5 S 8                 	98.5                     	          	        	B-      	100.00      
218	Bi     	83 	135	0.0000  	              	13.22               	3         	33 S 1                   	33                       	          	        	B-      	100.00      
219	Bi     	83 	136	0.0000  	              	16.28               	20        	22 S 7                   	22                       	          	        	B-      	100.00      
220	Bi     	83 	137	0.0000  	              	20.8                	3         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
221	Bi     	83 	138	0.0000  	              	24.1                	3         	300 NS GT                	3.0000000000000004E-7    	          	        	BN      	            
221	Bi     	83 	138	0.0000  	              	24.1                	3         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
222	Bi     	83 	139	0.0000  	              	28.7                	3         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
223	Bi     	83 	140	0.0000  	              	32.1                	4         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
223	Bi     	83 	140	0.0000  	              	32.1                	4         	300 NS GT                	3.0000000000000004E-7    	          	        	BN      	            
224	Bi     	83 	141	0.0000  	              	36.8                	4         	300 NS GT                	3.0000000000000004E-7    	          	        	BN      	?           
224	Bi     	83 	141	0.0000  	              	36.8                	4         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
186	Po     	84 	102	0.0000  	0+            	4.101               	18        	28 US +16-6              	2.8E-5                   	          	        	A       	~ 100.00    
187	Po     	84 	103	0.0000  	(1/2-,5/2-)   	2.83                	3         	1.40 MS 25               	0.0014                   	          	        	A       	100.00      
188	Po     	84 	104	0.0000  	0+            	-0.544              	20        	0.275 MS 30              	2.75E-4                  	          	        	EC      	100.00      
188	Po     	84 	104	0.0000  	0+            	-0.544              	20        	0.275 MS 30              	2.75E-4                  	          	        	A       	            
189	Po     	84 	105	0.0000  	(7/2-)        	-1.422              	22        	3.5 MS 5                 	0.0035                   	          	        	A       	100.00      
190	Po     	84 	106	0.0000  	0+            	-4.564              	13        	2.46 MS 5                	0.00246                  	          	        	A       	100.00      
191	Po     	84 	107	0.0000  	(3/2-)        	-5.069              	7         	22 MS 1                  	0.022                    	          	        	A       	99.00       
191	Po     	84 	107	0.0400  	(13/2+)       	-5.029              	7         	93 MS 3                  	0.093                    	          	        	A       	96.00       
192	Po     	84 	108	0.0000  	0+            	-8.071              	11        	32.2 MS 3                	0.0322                   	          	        	A       	~ 99.50     
192	Po     	84 	108	0.0000  	0+            	-8.071              	11        	32.2 MS 3                	0.0322                   	          	        	EC      	~ 0.50      
193	Po     	84 	109	0.0000  	(13/2+)       	-8.325              	15        	245 MS 11                	0.245                    	          	        	A       	<= 100.00   
193	Po     	84 	109	0.0000  	(3/2-)        	-8.325              	15        	388 MS 40                	0.388                    	          	        	A       	<= 100.00   
194	Po     	84 	110	0.0000  	0+            	-11.005             	13        	0.392 S 4                	0.392                    	          	        	EC      	            
194	Po     	84 	110	0.0000  	0+            	-11.005             	13        	0.392 S 4                	0.392                    	          	        	A       	100.00      
195	Po     	84 	111	0.0000  	(3/2-)        	-11.06              	4         	4.64 S 9                 	4.64                     	          	        	A       	94.00       
195	Po     	84 	111	0.0000  	(3/2-)        	-11.06              	4         	4.64 S 9                 	4.64                     	          	        	EC      	4.00        
195	Po     	84 	111	0.2300  	(13/2+)       	-10.83              	4         	1.92 S 2                 	1.92                     	          	        	EC      	~ 10.00     
195	Po     	84 	111	0.2300  	(13/2+)       	-10.83              	4         	1.92 S 2                 	1.92                     	          	        	IT      	< 0.01      
195	Po     	84 	111	0.2300  	(13/2+)       	-10.83              	4         	1.92 S 2                 	1.92                     	          	        	A       	~ 90.00     
196	Po     	84 	112	0.0000  	0+            	-13.473             	14        	5.8 S 2                  	5.8                      	          	        	A       	~ 98.00     
196	Po     	84 	112	0.0000  	0+            	-13.473             	14        	5.8 S 2                  	5.8                      	          	        	EC      	~ 2.00      
197	Po     	84 	113	0.0000  	(3/2-)        	-13.36              	5         	84 S 16                  	84                       	          	        	A       	44.00       
197	Po     	84 	113	0.0000  	(3/2-)        	-13.36              	5         	84 S 16                  	84                       	          	        	EC      	56.00       
197	Po     	84 	113	0.2040  	(13/2+)       	-13.15              	5         	32 S 2                   	32                       	          	        	A       	84.00       
197	Po     	84 	113	0.2040  	(13/2+)       	-13.15              	5         	32 S 2                   	32                       	          	        	EC      	16.00       
197	Po     	84 	113	0.2040  	(13/2+)       	-13.15              	5         	32 S 2                   	32                       	          	        	IT      	0.01        
198	Po     	84 	114	0.0000  	0+            	-15.473             	17        	1.760 M 24               	105.6                    	          	        	A       	57.00       
198	Po     	84 	114	0.0000  	0+            	-15.473             	17        	1.760 M 24               	105.6                    	          	        	EC      	43.00       
199	Po     	84 	115	0.0000  	(3/2-)        	-15.208             	18        	5.47 M 15                	328.2                    	          	        	EC      	92.50       
199	Po     	84 	115	0.0000  	(3/2-)        	-15.208             	18        	5.47 M 15                	328.2                    	          	        	A       	7.50        
199	Po     	84 	115	0.3100  	(13/2+)       	-14.898             	18        	4.17 M 5                 	250.2                    	          	        	A       	24.00       
199	Po     	84 	115	0.3100  	(13/2+)       	-14.898             	18        	4.17 M 5                 	250.2                    	          	        	IT      	2.50        
199	Po     	84 	115	0.3100  	(13/2+)       	-14.898             	18        	4.17 M 5                 	250.2                    	          	        	EC      	73.50       
200	Po     	84 	116	0.0000  	0+            	-16.942             	8         	11.51 M 8                	690.6                    	          	        	EC      	88.90       
200	Po     	84 	116	0.0000  	0+            	-16.942             	8         	11.51 M 8                	690.6                    	          	        	A       	11.10       
201	Po     	84 	117	0.0000  	3/2-          	-16.521             	5         	15.6 M 1                 	936                      	          	        	A       	1.13        
201	Po     	84 	117	0.0000  	3/2-          	-16.521             	5         	15.6 M 1                 	936                      	          	        	EC      	98.87       
201	Po     	84 	117	0.4241  	13/2+         	-16.097             	5         	8.96 M 12                	537.6                    	          	        	IT      	56.20       
201	Po     	84 	117	0.4241  	13/2+         	-16.097             	5         	8.96 M 12                	537.6                    	          	        	EC      	41.40       
201	Po     	84 	117	0.4241  	13/2+         	-16.097             	5         	8.96 M 12                	537.6                    	          	        	A       	2.40        
202	Po     	84 	118	0.0000  	0+            	-17.942             	9         	44.6 M 4                 	2676                     	          	        	EC      	98.08       
202	Po     	84 	118	0.0000  	0+            	-17.942             	9         	44.6 M 4                 	2676                     	          	        	A       	1.92        
203	Po     	84 	119	0.0000  	5/2-          	-17.311             	9         	36.7 M 5                 	2202                     	          	        	EC      	99.89       
203	Po     	84 	119	0.0000  	5/2-          	-17.311             	9         	36.7 M 5                 	2202                     	          	        	A       	0.11        
203	Po     	84 	119	0.6417  	13/2+         	-16.669             	9         	45 S 2                   	45                       	          	        	EC      	            
203	Po     	84 	119	0.6417  	13/2+         	-16.669             	9         	45 S 2                   	45                       	          	        	IT      	100.00      
204	Po     	84 	120	0.0000  	0+            	-18.341             	11        	3.519 H 12               	12668.4                  	          	        	EC      	99.33       
204	Po     	84 	120	0.0000  	0+            	-18.341             	11        	3.519 H 12               	12668.4                  	          	        	A       	0.67        
205	Po     	84 	121	0.0000  	5/2-          	-17.521             	10        	1.74 H 8                 	6264                     	          	        	A       	0.04        
205	Po     	84 	121	0.0000  	5/2-          	-17.521             	10        	1.74 H 8                 	6264                     	          	        	EC      	99.96       
205	Po     	84 	121	0.8803  	13/2+         	-16.641             	10        	0.645 MS 20              	6.45E-4                  	          	        	IT      	100.00      
205	Po     	84 	121	1.4612  	19/2-         	-16.060             	10        	57.4 MS 9                	0.0574                   	          	        	IT      	100.00      
206	Po     	84 	122	0.0000  	0+            	-18.189             	4         	8.8 D 1                  	760320.0000000001        	          	        	EC      	94.55       
206	Po     	84 	122	0.0000  	0+            	-18.189             	4         	8.8 D 1                  	760320.0000000001        	          	        	A       	5.45        
207	Po     	84 	123	0.0000  	5/2-          	-17.146             	7         	5.80 H 2                 	20880                    	          	        	EC      	99.98       
207	Po     	84 	123	0.0000  	5/2-          	-17.146             	7         	5.80 H 2                 	20880                    	          	        	A       	0.02        
207	Po     	84 	123	1.3832  	19/2-         	-15.763             	7         	2.79 S 8                 	2.79                     	          	        	IT      	100.00      
208	Po     	84 	124	0.0000  	0+            	-17.4696            	17        	2.898 Y 2                	9.145E7                  	          	        	EC      	4.0E-3      
208	Po     	84 	124	0.0000  	0+            	-17.4696            	17        	2.898 Y 2                	9.145E7                  	          	        	A       	100.00      
209	Po     	84 	125	0.0000  	1/2-          	-16.3661            	18        	124 Y 3                  	3.913E9                  	          	        	A       	99.55       
209	Po     	84 	125	0.0000  	1/2-          	-16.3661            	18        	124 Y 3                  	3.913E9                  	          	        	EC      	0.45        
210	Po     	84 	126	0.0000  	0+            	-15.9531            	11        	138.376 D 2              	1.196E7                  	          	        	A       	100.00      
211	Po     	84 	127	0.0000  	9/2+          	-12.4326            	13        	0.516 S 3                	0.516                    	          	        	A       	100.00      
211	Po     	84 	127	1.4620  	(25/2+)       	-10.9706            	13        	25.2 S 6                 	25.2                     	          	        	A       	99.98       
211	Po     	84 	127	1.4620  	(25/2+)       	-10.9706            	13        	25.2 S 6                 	25.2                     	          	        	IT      	0.02        
212	Po     	84 	128	0.0000  	0+            	-10.3695            	12        	0.299 US 2               	2.99E-7                  	          	        	A       	100.00      
212	Po     	84 	128	2.9220  	(18+)         	-7.4475             	12        	45.1 S 6                 	45.1                     	          	        	A       	99.93       
212	Po     	84 	128	2.9220  	(18+)         	-7.4475             	12        	45.1 S 6                 	45.1                     	          	        	IT      	0.07        
213	Po     	84 	129	0.0000  	9/2+          	-6.654              	3         	3.72 US 2                	3.72E-6                  	          	        	A       	100.00      
214	Po     	84 	130	0.0000  	0+            	-4.4700             	14        	163.6 US 3               	1.636E-4                 	          	        	A       	100.00      
215	Po     	84 	131	0.0000  	9/2+          	-0.5417             	21        	1.781 MS 4               	0.00178                  	          	        	A       	100.00      
215	Po     	84 	131	0.0000  	9/2+          	-0.5417             	21        	1.781 MS 4               	0.00178                  	          	        	B-      	2.3E-4      
216	Po     	84 	132	0.0000  	0+            	1.7824              	18        	0.145 S 2                	0.145                    	          	        	A       	100.00      
217	Po     	84 	133	0.0000  	(9/2+)        	5.884               	7         	1.53 S 5                 	1.53                     	          	        	A       	            
218	Po     	84 	134	0.0000  	0+            	8.3569              	20        	3.098 M 12               	185.88                   	          	        	A       	99.98       
218	Po     	84 	134	0.0000  	0+            	8.3569              	20        	3.098 M 12               	185.88                   	          	        	B-      	0.02        
219	Po     	84 	135	0.0000  	(9/2+)        	12.681              	16        	620 S 59T                	620                      	          	        	B-      	71.80       
219	Po     	84 	135	0.0000  	(9/2+)        	12.681              	16        	620 S 59T                	620                      	          	        	A       	28.20       
220	Po     	84 	136	0.0000  	0+            	15.263              	18        	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
221	Po     	84 	137	0.0000  	              	19.774              	20        	112 S +58-28             	112                      	          	        	B-      	100.00      
222	Po     	84 	138	0.0000  	0+            	22.49               	4         	550 S 430                	550                      	          	        	B-      	100.00      
223	Po     	84 	139	0.0000  	              	27.08               	20        	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
224	Po     	84 	140	0.0000  	0+            	29.91               	20        	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
225	Po     	84 	141	0.0000  	              	34.5                	3         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
226	Po     	84 	142	0.0000  	0+            	37.5                	4         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
227	Po     	84 	143	0.0000  	              	42.3                	4         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
191	At     	85 	106	0.0000  	(1/2+)        	3.864               	16        	1.7 MS +11-5             	0.0017                   	          	        	A       	100.00      
191	At     	85 	106	0.0550  	(7/2-)        	3.919               	16        	2.1 MS +4-3              	0.0021                   	          	        	A       	100.00      
192	At     	85 	107	0.0000  	              	2.93                	3         	11.5 MS 6                	0.0115                   	          	        	A       	100.00      
192	At     	85 	107	0.0000  	(9-,10-)      	2.93                	3         	88 MS 6                  	0.088                    	          	        	A       	100.00      
193	At     	85 	108	0.0000  	(1/2+)        	-0.067              	22        	28 MS +5-4               	0.028                    	          	        	A       	100.00      
193	At     	85 	108	0.0050  	(7/2-)        	-0.062              	22        	21 MS 5                  	0.021                    	          	        	A       	100.00      
193	At     	85 	108	0.0390  	(13/2+)       	-0.028              	22        	27 MS +4-3               	0.027                    	          	        	IT      	76.00       
193	At     	85 	108	0.0390  	(13/2+)       	-0.028              	22        	27 MS +4-3               	0.027                    	          	        	A       	24.00       
194	At     	85 	109	0.0000  	(9-10-)       	-0.720              	25        	310 MS 8                 	0.31                     	          	        	A       	            
194	At     	85 	109	0.0000  	              	-0.720              	25        	253 MS 10                	0.253                    	          	        	A       	            
195	At     	85 	110	0.0000  	(1/2+)        	-3.470              	10        	290 MS 20                	0.29                     	          	        	A       	100.00      
195	At     	85 	110	0.0000  	(7/2-)        	-3.470              	10        	143 MS 3                 	0.143                    	          	        	A       	100.00      
196	At     	85 	111	0.0000  	(3+)          	-3.91               	3         	0.388 S 7                	0.388                    	          	        	A       	~ 95.10     
196	At     	85 	111	0.0000  	(3+)          	-3.91               	3         	0.388 S 7                	0.388                    	          	        	EC      	~ 4.90      
197	At     	85 	112	0.0000  	(9/2-)        	-6.355              	8         	0.388 S 6                	0.388                    	          	        	A       	96.10       
197	At     	85 	112	0.0000  	(9/2-)        	-6.355              	8         	0.388 S 6                	0.388                    	          	        	EC      	3.90        
197	At     	85 	112	0.0520  	(1/2+)        	-6.303              	8         	2.0 S 2                  	2                        	          	        	IT      	<= 4.0E-3   
197	At     	85 	112	0.0520  	(1/2+)        	-6.303              	8         	2.0 S 2                  	2                        	          	        	A       	<= 100.00   
197	At     	85 	112	0.0520  	(1/2+)        	-6.303              	8         	2.0 S 2                  	2                        	          	        	EC      	            
198	At     	85 	113	0.0000  	(3+)          	-6.715              	6         	4.2 S 2                  	4.2                      	          	        	A       	90.00       
198	At     	85 	113	0.0000  	(3+)          	-6.715              	6         	4.2 S 2                  	4.2                      	          	        	EC      	10.00       
198	At     	85 	113	0.1020  	(10-)         	-6.613              	6         	1.21 S 6                 	1.21                     	          	        	A       	84.00       
198	At     	85 	113	0.1020  	(10-)         	-6.613              	6         	1.21 S 6                 	1.21                     	          	        	EC      	16.00       
199	At     	85 	114	0.0000  	(9/2-)        	-8.823              	5         	6.92 S 13                	6.92                     	          	        	A       	90.00       
199	At     	85 	114	0.0000  	(9/2-)        	-8.823              	5         	6.92 S 13                	6.92                     	          	        	EC      	10.00       
199	At     	85 	114	0.2400  	(1/2+)        	-8.583              	5         	0.31 S 8                 	0.31                     	          	        	A       	? 1.00      
200	At     	85 	115	0.0000  	(3+)          	-8.988              	24        	43 S 1                   	43                       	          	        	EC      	48.00       
200	At     	85 	115	0.0000  	(3+)          	-8.988              	24        	43 S 1                   	43                       	          	        	A       	52.00       
200	At     	85 	115	0.1120  	(7+)          	-8.876              	24        	47 S 1                   	47                       	          	        	EC      	<= 57.00    
200	At     	85 	115	0.1120  	(7+)          	-8.876              	24        	47 S 1                   	47                       	          	        	A       	43.00       
200	At     	85 	115	0.3440  	(10-)         	-8.644              	24        	7.3 S +26-15             	7.3                      	          	        	A       	~ 10.50     
200	At     	85 	115	0.3440  	(10-)         	-8.644              	24        	7.3 S +26-15             	7.3                      	          	        	EC      	< 89.50     
200	At     	85 	115	0.3440  	(10-)         	-8.644              	24        	7.3 S +26-15             	7.3                      	          	        	IT      	< 89.50     
201	At     	85 	116	0.0000  	(9/2-)        	-10.789             	8         	85.2 S 16                	85.2                     	          	        	A       	71.00       
201	At     	85 	116	0.0000  	(9/2-)        	-10.789             	8         	85.2 S 16                	85.2                     	          	        	EC      	29.00       
202	At     	85 	117	0.0000  	(2+,3+)       	-10.59              	3         	184 S 1                  	184                      	          	        	A       	37.00       
202	At     	85 	117	0.0000  	(2+,3+)       	-10.59              	3         	184 S 1                  	184                      	          	        	EC      	63.00       
202	At     	85 	117	0.0000  	(7+)          	-10.59              	3         	182 S 2                  	182                      	          	        	EC      	91.30       
202	At     	85 	117	0.0000  	(7+)          	-10.59              	3         	182 S 2                  	182                      	          	        	A       	8.70        
202	At     	85 	117	0.3917  	(10-)         	-10.20              	3         	0.46 S 5                 	0.46                     	          	        	IT      	99.90       
202	At     	85 	117	0.3917  	(10-)         	-10.20              	3         	0.46 S 5                 	0.46                     	          	        	A       	0.10        
203	At     	85 	118	0.0000  	9/2-          	-12.163             	11        	7.4 M 2                  	444                      	          	        	EC      	69.00       
203	At     	85 	118	0.0000  	9/2-          	-12.163             	11        	7.4 M 2                  	444                      	          	        	A       	31.00       
204	At     	85 	119	0.0000  	7+            	-11.875             	22        	9.12 M 11                	547.2                    	          	        	EC      	96.09       
204	At     	85 	119	0.0000  	7+            	-11.875             	22        	9.12 M 11                	547.2                    	          	        	A       	3.91        
204	At     	85 	119	0.5873  	10-           	-11.288             	22        	108 MS 10                	0.108                    	          	        	IT      	100.00      
205	At     	85 	120	0.0000  	9/2-          	-12.972             	15        	26.9 M 8                 	1614                     	          	        	EC      	90.00       
205	At     	85 	120	0.0000  	9/2-          	-12.972             	15        	26.9 M 8                 	1614                     	          	        	A       	10.00       
206	At     	85 	121	0.0000  	(5)+          	-12.430             	15        	30.6 M 8                 	1836                     	          	        	EC      	99.10       
206	At     	85 	121	0.0000  	(5)+          	-12.430             	15        	30.6 M 8                 	1836                     	          	        	A       	0.90        
207	At     	85 	122	0.0000  	9/2-          	-13.227             	12        	1.81 H 3                 	6516                     	          	        	EC      	91.40       
207	At     	85 	122	0.0000  	9/2-          	-13.227             	12        	1.81 H 3                 	6516                     	          	        	A       	8.60        
208	At     	85 	123	0.0000  	6+            	-12.470             	9         	1.63 H 3                 	5868                     	          	        	EC      	99.45       
208	At     	85 	123	0.0000  	6+            	-12.470             	9         	1.63 H 3                 	5868                     	          	        	A       	0.55        
209	At     	85 	124	0.0000  	9/2-          	-12.883             	5         	5.42 H 5                 	19512                    	          	        	A       	4.10        
209	At     	85 	124	0.0000  	9/2-          	-12.883             	5         	5.42 H 5                 	19512                    	          	        	EC      	95.90       
210	At     	85 	125	0.0000  	(5)+          	-11.972             	8         	8.1 H 4                  	29160                    	          	        	EC      	99.82       
210	At     	85 	125	0.0000  	(5)+          	-11.972             	8         	8.1 H 4                  	29160                    	          	        	A       	0.18        
211	At     	85 	126	0.0000  	9/2-          	-11.647             	3         	7.214 H 7                	25970.4                  	          	        	A       	41.80       
211	At     	85 	126	0.0000  	9/2-          	-11.647             	3         	7.214 H 7                	25970.4                  	          	        	EC      	58.20       
211	At     	85 	126	4.8145  	(39/2-)       	-6.833              	3         	4.23 US 7                	4.23E-6                  	          	        	IT      	41.80       
212	At     	85 	127	0.0000  	(1-)          	-8.6282             	24        	0.314 S 2                	0.314                    	          	        	A       	100.00      
212	At     	85 	127	0.0000  	(1-)          	-8.6282             	24        	0.314 S 2                	0.314                    	          	        	EC      	< 0.03      
212	At     	85 	127	0.0000  	(1-)          	-8.6282             	24        	0.314 S 2                	0.314                    	          	        	B-      	< 2.0E-6    
212	At     	85 	127	0.2230  	(9-)          	-8.4052             	24        	0.119 S 3                	0.119                    	          	        	A       	> 99.00     
212	At     	85 	127	0.2230  	(9-)          	-8.4052             	24        	0.119 S 3                	0.119                    	          	        	IT      	< 1.00      
213	At     	85 	128	0.0000  	9/2-          	-6.580              	5         	125 NS 6                 	1.25E-7                  	          	        	A       	100.00      
214	At     	85 	129	0.0000  	1-            	-3.380              	4         	558 NS 10                	5.58E-7                  	          	        	A       	100.00      
215	At     	85 	130	0.0000  	9/2-          	-1.256              	7         	0.10 MS 2                	1E-4                     	          	        	A       	100.00      
216	At     	85 	131	0.0000  	1-            	2.257               	4         	0.30 MS 3                	3E-4                     	          	        	A       	100.00      
216	At     	85 	131	0.0000  	1-            	2.257               	4         	0.30 MS 3                	3E-4                     	          	        	B-      	< 6.0E-3    
216	At     	85 	131	0.0000  	1-            	2.257               	4         	0.30 MS 3                	3E-4                     	          	        	EC      	< 3.0E-7    
217	At     	85 	132	0.0000  	9/2-          	4.395               	5         	32.3 MS 4                	0.0323                   	          	        	B-      	7.0E-3      
217	At     	85 	132	0.0000  	9/2-          	4.395               	5         	32.3 MS 4                	0.0323                   	          	        	A       	99.99       
218	At     	85 	133	0.0000  	              	8.098               	12        	1.5 S 3                  	1.5                      	          	        	A       	99.90       
218	At     	85 	133	0.0000  	              	8.098               	12        	1.5 S 3                  	1.5                      	          	        	B-      	0.10        
219	At     	85 	134	0.0000  	(9/2-)        	10.396              	3         	56 S 3                   	56                       	          	        	A       	93.60       
219	At     	85 	134	0.0000  	(9/2-)        	10.396              	3         	56 S 3                   	56                       	          	        	B-      	6.40        
220	At     	85 	135	0.0000  	3             	14.376              	14        	3.71 M 4                 	222.6                    	          	        	B-      	92.00       
220	At     	85 	135	0.0000  	3             	14.376              	14        	3.71 M 4                 	222.6                    	          	        	A       	8.00        
221	At     	85 	136	0.0000  	              	16.783              	14        	2.3 M 2                  	138                      	          	        	B-      	100.00      
222	At     	85 	137	0.0000  	              	20.953              	16        	54 S 10                  	54                       	          	        	B-      	100.00      
223	At     	85 	138	0.0000  	              	23.428              	14        	50 S 7                   	50                       	          	        	B-      	100.00      
224	At     	85 	139	        	              	27.711              	22        	1.3 M +23-43             	78                       	          	        	B-      	100.00      
225	At     	85 	140	0.0000  	              	30.4                	3         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
226	At     	85 	141	0.0000  	              	34.6                	3         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
227	At     	85 	142	0.0000  	              	37.5                	3         	300 NS GT                	3.0000000000000004E-7    	          	        	BN      	?           
227	At     	85 	142	0.0000  	              	37.5                	3         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
228	At     	85 	143	0.0000  	              	41.7                	4         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
229	At     	85 	144	0.0000  	              	44.8                	4         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
229	At     	85 	144	0.0000  	              	44.8                	4         	300 NS GT                	3.0000000000000004E-7    	          	        	BN      	            
193	Rn     	86 	107	0.0000  	(3/2-)        	9.04                	3         	1.15 MS 27               	0.00115                  	          	        	A       	100.00      
194	Rn     	86 	108	0.0000  	0+            	5.723               	17        	0.78 MS 16               	7.8E-4                   	          	        	A       	100.00      
195	Rn     	86 	109	0.0000  	3/2-          	5.05                	5         	6 MS +3-2                	0.006                    	          	        	A       	100.00      
195	Rn     	86 	109	0.0590  	13/2+         	5.11                	5         	5 MS +3-2                	0.005                    	          	        	A       	100.00      
